symbol,timestamp,open,high,low,close,SMA_50
BTCUSDT,2025-01-18,104385.99,104728.47,103770.78,104552.97,104053.57073090159
BTCUSDT,2025-01-18,104568.01,104719.23,103148.8,104385.99,104066.60773597719
BTCUSDT,2025-01-18,103585.46,104987.37,103132.13,104568.01,104086.27195427999
BTCUSDT,2025-01-18,102822.71,103876.46,102284.53,103585.46,104066.63094123948
BTCUSDT,2025-01-18,103560.81,103762.18,102607.64,102822.71,104017.84655738737
BTCUSDT,2025-01-18,104080.21,104655.62,103040.05,103560.81,103999.92243593966
BTCUSDT,2025-01-17,105831.45,105842.85,104071.22,104080.21,104003.07115676223
BTCUSDT,2025-01-17,104002.39,105840.26,103838.53,105831.45,104074.77642092855
BTCUSDT,2025-01-17,102235.08,104246.71,102194.67,104002.39,104071.93758054226
BTCUSDT,2025-01-17,101435.13,102584.28,101435.13,102235.08,103999.90011700371
BTCUSDT,2025-01-17,101048.77,101884.68,100946.83,101435.13,103899.31575476854
BTCUSDT,2025-01-17,99986.18,102146.87,99948.72,101048.77,103787.52415596726
BTCUSDT,2025-01-16,100414.71,100640.45,99384.58,99986.18,103638.44480106901
BTCUSDT,2025-01-16,99292.59,100441.96,99078.91,100414.71,103512.0180963643
